India Id,Trade Id,Product Description,Trade Date,Start Date,MR_MATURITY_DATE,Entered Date,CounterParty (F),Book,Buy_Sell,Currency Pair,Prim Cur,Prim Amt,Trade Price,Sec Cur,Sec Amt,TradeStatus
26997,13782015,"2199667/FXFlexiForward/MerchantFX/RETAIL/USD/INR/FXFlexiForwardMerchantFX [id=19015, noOfActionsDone: 0/null",01-03-21 0:00,01-09-21,07-03-24,01-03-21 0:00,Counterparty 1,TB.IND.TRADING.TIMEOPT,Buy,USD/INR,USD,450000,75.38,INR,123,VERIFIED
27966,14734932,"2219298/FXFlexiForward/MerchantFX/RETAIL/USD/INR/FXFlexiForwardMerchantFX [id=19509, noOfActionsDone: 0/null",12-03-21 0:00,30-07-21,23-03-25,12-03-21 0:00,Counterparty 2,TB.IND.TRADING.TIMEOPT,Buy,USD/INR,USD,83395.63,74.21,INR,567,VERIFIED
33963,14459168,"2360870/FXFlexiForward/MerchantFX/RETAIL/USD/INR/FXFlexiForwardMerchantFX [id=23517, noOfActionsDone: 0/null",10-06-21 0:00,14-12-21,22-09-24,10-06-21 0:00,Counterparty 3,TB.IND.TRADING.TIMEOPT,Buy,USD/INR,USD,1000000,74.64,INR,-74635000,VERIFIED
34740,14559806,"2385501/FXFlexiForward/MerchantFX/RETAIL/USD/INR/FXFlexiForwardMerchantFX [id=24049, noOfActionsDone: 0/null",25-06-21 0:00,30-09-21,30-06-24,25-06-21 0:00,Counterparty 4,TB.IND.TRADING.TIMEOPT,Buy,USD/INR,USD,950000,,INR,2345,VERIFIED
34741,14559817,,25-06-21 0:00,29-10-21,23-10-24,25-06-21 0:00,Counterparty 5,TB.IND.TRADING.TIMEOPT,Buy,USD/INR,USD,950000,75.17,INR,2354,VERIFIED
35314,14588875,"2393387/FXFlexiForward/MerchantFX/RETAIL/USD/INR/FXFlexiForwardMerchantFX [id=25006, noOfActionsDone: 0/null",30-06-21 0:00,17-08-21,13-01-25,30-06-21 0:00,Counterparty 6,TB.IND.TRADING.TIMEOPT,Buy,USD/INR,USD,0,74.53,INR,0,VERIFIED
37304,14708611,"2423545/FXFlexiForward/MerchantFX/RETAIL/USD/INR/FXFlexiForwardMerchantFX [id=27006, noOfActionsDone: 0/null",19-07-21 0:00,07-09-21,23-06-24,19-07-21 0:00,Counterparty 7,TB.IND.TRADING.TIMEOPT,Buy,USD/INR,USD,2000000,74.95,INR,3456,VERIFIED
37835,14719078,"2425840/FXFlexiForward/MerchantFX/RETAIL/USD/INR/FXFlexiForwardMerchantFX [id=27511, noOfActionsDone: 0/null",22-07-21 0:00,29-10-21,22-03-24,22-07-21 0:00,Counterparty 8,TB.IND.TRADING.TIMEOPT,Buy,USD/INR,USD,1000000,75.21,INR,465,VERIFIED
37836,14719100,"2425846/FXFlexiForward/MerchantFX/RETAIL/USD/INR/FXFlexiForwardMerchantFX [id=27512, noOfActionsDone: 0/null",22-07-21 0:00,31-12-21,25-08-24,22-07-21 0:00,Counterparty 9,TB.IND.TRADING.TIMEOPT,Buy,USD/INR,USD,1000000,75.75,INR,2354,VERIFIED
23758,13439979,"1955074/FXFlexiForward/MerchantFX/RETAIL/USD/INR/FXFlexiForwardMerchantFX [id=16510, noOfActionsDone: 0/null",21-01-21 0:00,20-07-21,15-05-24,21-01-21 0:00,Counterparty 10,TB.IND.TRADING.TIMEOPT,Sell,USD/INR,USD,0,74.74,,18716269.43,VERIFIED
