,Sentence,Chart_Type,Data_Type,Time_Period,Operation
0,Display a scatter plot of profit data to highlight the growth during the past week.,Scatter plot,Profit data,Past week,Growth
1,Provide a scatter plot showing variation of sales data across the past week.,Scatter plot,Sales data,Past week,Variation
2,Provide a stacked bar chart showing correlation of customer visits across the past week.,Stacked bar chart,Customer visits,Past week,Correlation
3,Show a line chart representing website traffic change for the past week.,Line chart,Website traffic,Past week,Change
4,Plot a scatter plot to visualize website traffic correlation for the last year.,Scatter plot,Website traffic,Last year,Correlation
5,Show a stacked bar chart representing profit data change for the last two years.,Stacked bar chart,Profit data,Last two years,Change
6,Make a pie chart showing the distribution of sales data over the current year.,Pie chart,Sales data,Current year,Distribution
7,Display a line chart of sales data to highlight the increase during the this quarter.,Line chart,Sales data,This quarter,Increase
8,Show a stacked bar chart representing profit data change for the this year.,Stacked bar chart,Profit data,This year,Change
9,Create a histogram to illustrate expenses data distribution during the last quarter.,Histogram,Expenses data,Last quarter,Distribution
10,Show a stacked bar chart representing website traffic change for the this quarter.,Stacked bar chart,Website traffic,This quarter,Change
11,Generate a stacked bar chart depicting correlation in customer visits over the last quarter.,Stacked bar chart,Customer visits,Last quarter,Correlation
12,Make a stacked bar chart showing the change of customer visits over the this year.,Stacked bar chart,Customer visits,This year,Change
13,Generate a pie chart depicting change in customer satisfaction over the last quarter.,Pie chart,Customer satisfaction,Last quarter,Change
14,Provide a bar chart showing change of customer visits across the last 3 months.,Bar chart,Customer visits,Last 3 months,Change
15,Make a stacked bar chart showing the change of profit data over the this year.,Stacked bar chart,Profit data,This year,Change
16,Create a histogram to illustrate customer satisfaction variation during the this quarter.,Histogram,Customer satisfaction,This quarter,Variation
17,Plot a heatmap to visualize customer satisfaction increase for the past week.,Heatmap,Customer satisfaction,Past week,Increase
18,Generate a pie chart depicting comparison in customer visits over the last quarter.,Pie chart,Customer visits,Last quarter,Comparison
19,Display a scatter plot of product prices to highlight the growth during the this year.,Scatter plot,Product prices,This year,Growth
20,Provide a stacked bar chart showing increase of market share across the last month.,Stacked bar chart,Market share,Last month,Increase
21,Show a stacked bar chart representing profit data distribution for the current year.,Stacked bar chart,Profit data,Current year,Distribution
22,Show a histogram representing market share distribution for the last 3 months.,Histogram,Market share,Last 3 months,Distribution
23,Plot a scatter plot to visualize customer satisfaction change for the last month.,Scatter plot,Customer satisfaction,Last month,Change
24,Make a line chart showing the increase of market share over the last 3 months.,Line chart,Market share,Last 3 months,Increase
25,Generate a stacked bar chart depicting increase in website traffic over the last month.,Stacked bar chart,Website traffic,Last month,Increase
26,Plot a line chart to visualize sales data increase for the past week.,Line chart,Sales data,Past week,Increase
27,Show a bar chart representing website traffic growth for the last 3 months.,Bar chart,Website traffic,Last 3 months,Growth
28,Generate a pie chart depicting distribution in revenue data over the last month.,Pie chart,Revenue data,Last month,Distribution
29,Create a histogram to illustrate market share comparison during the last two years.,Histogram,Market share,Last two years,Comparison
30,Show a histogram representing website traffic change for the this year.,Histogram,Website traffic,This year,Change
31,Make a heatmap showing the increase of market share over the current year.,Heatmap,Market share,Current year,Increase
32,Create a bar chart to illustrate expenses data variation during the past week.,Bar chart,Expenses data,Past week,Variation
33,Display a pie chart of revenue data to highlight the growth during the last quarter.,Pie chart,Revenue data,Last quarter,Growth
34,Create a heatmap to illustrate customer visits distribution during the past week.,Heatmap,Customer visits,Past week,Distribution
35,Make a pie chart showing the increase of market share over the last quarter.,Pie chart,Market share,Last quarter,Increase
36,Create a line chart to illustrate product prices increase during the this year.,Line chart,Product prices,This year,Increase
