wekalp_ref,BUSINESS_DATE,LOAN_NUM,MATURITY_DATE,START_DATE,OUTSTANDING_PRINCIPAL_AMOUNT,OUTSTANDING_INTEREST_AMOUNT,CURRENCY,BRANCH,PURPOSE,CUSTOMER_CODE,COUNTERPARTY_TYPE,SECURED_IND,PRODUCT TYPE,CUSTOMER NAME,ORG_DESC,INDUSTRY_DESC,CUSTOMER_TYPE,TOT_OUT_AMT_INR,LR_BUCKET,SYSTEM_ASSET_CLASSIFICATION,Asset Classification ID
wekalp_ref100,20221231,DUB-EUR-CM-13166-2,20250331,20200301,710949.67,3187.86,EUR,DUB,MM,CUST-13166,Financial Institution,Y,CM,ABC7773,Software,Wood,MEDIUM,62940511.20655,Over 3 Months and upto 6 months,STANDARD,2
wekalp_ref101,20221231,DUB-EUR-CM-13166-2,20250331,20200301,546950.99,18616.93,GBP,DUB,LA,CUST-13166,Overseas Bank,N,CM,ABC7773,Software,Wood,MEDIUM,56289561.157800004,8-14 Days,STANDARD,2
wekalp_ref102,20221231,DEL-EUR-CM-38474-6,20250331,20200301,1020211.44,5003.28,EUR,DEL,MM,CUST-38474,Overseas Bank,N,CM,ABC5892,Real Estate,Leather,MEDIUM,90357299.3472,Over 3 Years and upto 5 years,STANDARD,4
wekalp_ref103,20221231,DEL-GBP-CC-30262-7,20250331,20200301,1760344.25,8123.9,GBP,DEL,MM,CUST-30262,Financial Institution,N,CC,ABC6388,Individual,Food Processing,MEDIUM,176011213.799125,Over 5 years and upto 7 years,STANDARD,4
wekalp_ref104,20221231,MUM-EUR-CC-63313-9,20250331,20200301,1259035.79,7133.13,EUR,MUM,LA,CUST-63313,Individual,Y,CC,ABC6325,Aviation,Man Made Textiles,MEDIUM,111593797.7642,More than 2 months and upto 3 months,STANDARD,4
wekalp_ref105,20221231,DEL-INR-TL-55819-10,20250331,20200301,48466.52,16518.72,INR,DEL,LA,CUST-55819,Cooperative Bank,Y,TL,ABC7234,Shipping,Tea,MEDIUM,64985.24,Over 6 Months and upto 1 year,STANDARD,3
wekalp_ref106,20221231,DEL-INR-TL-55819-10,20250331,20200301,951955.29,17618.25,INR,DEL,LA,CUST-55819,Corporate,N,TL,ABC7234,Shipping,Tea,MEDIUM,969573.54,Over 3 Years and upto 5 years,STANDARD,3
wekalp_ref107,20221231,DUB-INR-CC-26730-14,20250331,20200301,921935.63,18783.05,INR,DUB,LA,CUST-26730,Individual,Y,CC,ABC447,Individual,Leather,LARGE,940718.68,More than 2 months and upto 3 months,STANDARD,4
wekalp_ref108,20221231,DEL-USD-OD-73488-16,20250331,20200301,-404583.07,-3274.87,USD,DEL,LA,CUST-73488,Individual,Y,OD,ABC5755,Tourism,Food Processing,SMALL,-33740048.0865,Over 7 years and up to 10 years,STANDARD,3
wekalp_ref109,20221231,MUM-EUR-CC-78308-17,20250331,20200301,727859.95,16144.96,EUR,MUM,LA,CUST-78308,Financial Institution,Y,CC,ABC5162,Software,Food Processing,MEDIUM,65572872.74285,Over 15 years,STANDARD,5
wekalp_ref110,20221231,DUB-USD-CC-19727-19,20250331,20200301,425290.31,5353.31,USD,DUB,LA,CUST-19727,Overseas Bank,N,CC,ABC7239,Transport,Food Processing,MEDIUM,35624993.464499995,31 Days and upto 2 months,STANDARD,2
wekalp_ref111,20221231,DUB-INR-CM-61415-20,20250331,20200301,215504.73,15579.37,INR,DUB,LA,CUST-61415,Overseas Bank,Y,CM,ABC8981,Transport,Sugar,MEDIUM,231084.1,Over 10 year and up to 15 years,STANDARD,5
wekalp_ref112,20221231,DEL-USD-OD-25015-22,20250331,20200301,-1764309.29,-10386.25,USD,DEL,MM,CUST-25015,Financial Institution,N,OD,ABC1030,Real Estate,Food Processing,SMALL,-146811688.5465,2-7 Days,STANDARD,5
wekalp_ref113,20221231,DEL-EUR-OD-22482-23,20250331,20200301,-846002.52,-17659.78,EUR,DEL,MM,CUST-22482,Overseas Bank,N,OD,ABC5163,Individual,Railways,MEDIUM,-76118876.81050001,Over 3 Years and upto 5 years,STANDARD,4
wekalp_ref114,20221231,MUM-INR-TL-21144-24,20250331,20200301,46655.05,15251.09,INR,MUM,LA,CUST-21144,Individual,Y,TL,ABC3418,Real Estate,Iron and Steel,SMALL,61906.14,Over 15 years,STANDARD,5
wekalp_ref115,20221231,DEL-EUR-CC-55750-25,20250331,20200301,1707180.98,11893.16,EUR,DEL,LA,CUST-55750,Corporate,Y,CC,ABC7343,Housing Finance,Leather,SMALL,151510599.3289,Over 15 years,STANDARD,5
wekalp_ref116,20221231,DUB-USD-TL-64212-26,20250331,20200301,1456732.42,15909.63,USD,DUB,LA,CUST-64212,Individual,N,TL,ABC2679,Shipping,Iron and Steel,MEDIUM,121824313.58624998,Over 1 Year and upto 3 years,STANDARD,5
wekalp_ref117,20221231,MUM-GBP-CC-11025-31,20250331,20200301,1066364.19,16063.88,GBP,MUM,LA,CUST-11025,Individual,N,CC,ABC7505,Shipping,Electronics,MEDIUM,107731359.73692499,2-7 Days,SUB-STANDARD,3
wekalp_ref118,20221231,DEL-GBP-CC-33165-32,20250331,20200301,474547.85,9611.04,GBP,DEL,LA,CUST-33165,Individual,N,CC,ABC2755,Agriculture,Electronics,LARGE,48187123.924475,Day - 1,STANDARD,4
wekalp_ref119,20221231,MUM-GBP-CM-37602-33,20250331,20200301,1498625.46,11541.15,GBP,MUM,LA,CUST-37602,Overseas Bank,N,CM,ABC4813,Tourism,Wood,MEDIUM,150303107.276775,Day - 1,STANDARD,2
