,India Id,Trade Id,Product Description,Trade Date,Start Date,MR_MATURITY_DATE,Entered Date,CounterParty (F),Book,Buy/Sell,Currency Pair,Prim Cur,Prim Amt,Trade Price,Sec Cur,Sec Amt,TradeStatus,check_fail_errors,discard_flag
0,26997,13782015.0,"2199667/FXFlexiForward/MerchantFX/RETAIL/USD/INR/FXFlexiForwardMerchantFX [id=19015, noOfActionsDone: 0/null",01-03-21 0:00,01-09-21,07-03-24,01-03-21 0:00,Counterparty 1,TB.IND.TRADING.TIMEOPT,Buy,USD/INR,USD,450000,75.38,INR,-33921000.0,VERIFIED,[Trade Date not a date format with ['Date (dd-mm-yy hh:mm)'] format][Entered Date not a date format with ['Date (dd-mm-yy hh:mm)'] format][Sec Amt is Negative ],0
1,27966,14734932.0,"2219298/FXFlexiForward/MerchantFX/RETAIL/USD/INR/FXFlexiForwardMerchantFX [id=19509, noOfActionsDone: 0/null",12-03-21 0:00,30-07-21,23-03-25,12-03-21 0:00,Counterparty 2,TB.IND.TRADING.TIMEOPT,Buy,USD/INR,USD,83395.63,74.21,INR,-6188581.22,VERIFIED,[Trade Id: Primary key is duplicated ][Trade Date not a date format with ['Date (dd-mm-yy hh:mm)'] format][Entered Date not a date format with ['Date (dd-mm-yy hh:mm)'] format][Prim Amt not Integer ][Sec Amt not Integer ],0
2,33963,14459168.0,"2360870/FXFlexiForward/MerchantFX/RETAIL/USD/INR/FXFlexiForwardMerchantFX [id=23517, noOfActionsDone: 0/null",10-06-21 0:00,14-12-21,22-09-24,10-06-21 0:00,Counterparty 3,TB.IND.TRADING.TIMEOPT,Buy,USD/INR,USD,1000000,74.64,INR,-74635000.0,VERIFIED,[Trade Date not a date format with ['Date (dd-mm-yy hh:mm)'] format][Entered Date not a date format with ['Date (dd-mm-yy hh:mm)'] format][Sec Amt is Negative ],0
3,34740,14559806.0,"2385501/FXFlexiForward/MerchantFX/RETAIL/USD/INR/FXFlexiForwardMerchantFX [id=24049, noOfActionsDone: 0/null",25-06-21 0:00,30-09-21,30-06-24,25-06-21 0:00,Counterparty 4,TB.IND.TRADING.TIMEOPT,Buy,USD/INR,USD,950000,,INR,-71162125.0,VERIFIED,"[Trade Date not a date format with ['Date (dd-mm-yy hh:mm)'] format][Entered Date not a date format with ['Date (dd-mm-yy hh:mm)'] format][Trade Price Null value ][Trade Price not decimal with decimal(4,2) format][Sec Amt is Negative ]",0
4,34741,14559817.0,,25-06-21 0:00,29-10-21,23-10-24,25-06-21 0:00,Counterparty 5,TB.IND.TRADING.TIMEOPT,Buy,USD/INR,USD,950000,75.17,INR,-71409125.0,VERIFIED,[Product Description: Primary key is Null ][Product Description: Primary key is duplicated ][Product Description Null value ][Product Description not String ][Trade Date not a date format with ['Date (dd-mm-yy hh:mm)'] format][Entered Date not a date format with ['Date (dd-mm-yy hh:mm)'] format][Sec Amt is Negative ],0
5,35314,14588875.0,"2393387/FXFlexiForward/MerchantFX/RETAIL/USD/INR/FXFlexiForwardMerchantFX [id=25006, noOfActionsDone: 0/null",30-06-21 0:00,17-08-21,13-01-25,30-06-21 0:00,Counterparty 6,TB.IND.TRADING.TIMEOPT,Buy,USD/INR,USD,0,74.53,INR,0.0,VERIFIED,[Trade Date not a date format with ['Date (dd-mm-yy hh:mm)'] format][Entered Date not a date format with ['Date (dd-mm-yy hh:mm)'] format][Prim Amt is Zero ][Sec Amt is Zero ],0
6,37304,14708611.0,"2423545/FXFlexiForward/MerchantFX/RETAIL/USD/INR/FXFlexiForwardMerchantFX [id=27006, noOfActionsDone: 0/null",19-07-21 0:00,07-09-21,23-06-24,19-07-21 0:00,Counterparty 7,TB.IND.TRADING.TIMEOPT,Buy,USD/INR,USD,2000000,74.95,INR,-149902600.0,VERIFIED,[Trade Date not a date format with ['Date (dd-mm-yy hh:mm)'] format][Entered Date not a date format with ['Date (dd-mm-yy hh:mm)'] format][Sec Amt is Negative ],0
7,37835,14719078.0,"2425840/FXFlexiForward/MerchantFX/RETAIL/USD/INR/FXFlexiForwardMerchantFX [id=27511, noOfActionsDone: 0/null",22-07-21 0:00,29-10-21,22-03-24,22-07-21 0:00,Counterparty 8,TB.IND.TRADING.TIMEOPT,Buy,USD/INR,USD,1000000,75.21,INR,-75205000.0,VERIFIED,[Trade Date not a date format with ['Date (dd-mm-yy hh:mm)'] format][Entered Date not a date format with ['Date (dd-mm-yy hh:mm)'] format][Sec Amt is Negative ],0
8,37836,14719100.0,"2425846/FXFlexiForward/MerchantFX/RETAIL/USD/INR/FXFlexiForwardMerchantFX [id=27512, noOfActionsDone: 0/null",22-07-21 0:00,31-12-21,25-08-24,22-07-21 0:00,Counterparty 9,TB.IND.TRADING.TIMEOPT,Buy,USD/INR,USD,1000000,75.75,INR,-75745000.0,VERIFIED,[Trade Id: Primary key is duplicated ][Trade Date not a date format with ['Date (dd-mm-yy hh:mm)'] format][Entered Date not a date format with ['Date (dd-mm-yy hh:mm)'] format][Sec Amt is Negative ],0
9,23758,-5.0,"1955074/FXFlexiForward/MerchantFX/RETAIL/USD/INR/FXFlexiForwardMerchantFX [id=16510, noOfActionsDone: 0/null",21-01-21 0:00,20-07-21,15-05-24,21-01-21 0:00,Counterparty 10,TB.IND.TRADING.TIMEOPT,Sell,USD/INR,USD,0,74.74,,18716269.43,VERIFIED,[Trade Id is Negative ][Trade Date not a date format with ['Date (dd-mm-yy hh:mm)'] format][Entered Date not a date format with ['Date (dd-mm-yy hh:mm)'] format][Prim Amt is Zero ][Sec Cur Null value ][Sec Cur not String ][Sec Amt not Integer ],0
10,24176,13528465.0,0,03-02-21 0:00,02-08-21,20-11-24,03-02-21 0:00,Counterparty 11,TB.IND.TRADING.TIMEOPT,Sell,USD/INR,USD,-311126,74.84,INR,23284669.84,VERIFIED,[Product Description not String ][Trade Date not a date format with ['Date (dd-mm-yy hh:mm)'] format][Entered Date not a date format with ['Date (dd-mm-yy hh:mm)'] format][Prim Amt is Negative ][Sec Amt not Integer ],0
11,25318,13598482.0,"1993902/FXFlexiForward/MerchantFX/RETAIL/USD/INR/FXFlexiForwardMerchantFX [id=18507, noOfActionsDone: 0/null",15-02-21 0:00,31-08-21,21-01-25,15-02-21 0:00,Counterparty 12,TB.IND.TRADING.TIMEOPT,Sell,USD/INR,USD,-17811,74.77,INR,1331773.0,VERIFIED,[Trade Date not a date format with ['Date (dd-mm-yy hh:mm)'] format][Entered Date not a date format with ['Date (dd-mm-yy hh:mm)'] format][Prim Amt is Negative ],0
